Date,Inflation
8/14/76,5.600000000000005
8/15/76,5.593079748785401
8/16/76,5.586161957230029
8/17/76,5.579246624022738
8/18/76,5.572333747853375
8/19/76,5.565423327412677
8/20/76,5.558515361392291
8/21/76,5.551609848484862
8/22/76,5.544706787
8/23/76,5.5378061767838105
8/24/76,5.530908015380054
8/25/76,5.524012301868941
8/26/76,5.517119034947671
8/27/76,5.5102282133144165
8/28/76,5.503339835668264
8/29/76,5.496453900709231
8/30/76,5.489570407
8/31/76,5.482689354
9/1/76,5.475187694561434
9/2/76,5.474185280117161
9/3/76,5.473183232656043
9/4/76,5.472181551976574
9/5/76,5.471180237877404
9/6/76,5.470179290157318
9/7/76,5.469178708615341
9/8/76,5.4681784930504795
9/9/76,5.467178643262027
9/10/76,5.466179159049345
9/11/76,5.4651800402120365
9/12/76,5.4641812865497075
9/13/76,5.463182897862229
9/14/76,5.462184874
9/15/76,5.4611872146118845
9/16/76,5.460189919649383
9/17/76,5.459192988862505
9/18/76,5.458196422051853
9/19/76,5.457200219018077
9/20/76,5.456204379562046
9/21/76,5.455208903484765
9/22/76,5.454213791
9/23/76,5.453219040671176
9/24/76,5.452224653537563
9/25/76,5.451230628988135
9/26/76,5.450236966824651
9/27/76,5.449243666848913
9/28/76,5.448250728862969
9/29/76,5.4472581526689545
9/30/76,5.446265938069228
10/1/76,5.43969923
10/2/76,5.4208022552416635
10/3/76,5.401914156538079
10/4/76,5.383034928089225
10/5/76,5.3641645636480995
10/6/76,5.345303056973538
10/7/76,5.3264504018302405
10/8/76,5.307606591988745
10/9/76,5.288771621225452
10/10/76,5.269945483322602
10/11/76,5.251128172068209
10/12/76,5.232319681256237
10/13/76,5.213520004686312
10/14/76,5.194729136163989
10/15/76,5.175947069500553
10/16/76,5.157173798513148
10/17/76,5.138409317
10/18/76,5.119653618863729
10/19/76,5.100906697864893
10/20/76,5.082168547868293
10/21/76,5.063439162719985
10/22/76,5.044718536271708
10/23/76,5.026006662380933
10/24/76,5.007303534910923
10/25/76,4.988609147730605
10/26/76,4.969923494714701
10/27/76,4.951246569743684
10/28/76,4.932578366703644
10/29/76,4.913918879486445
10/30/76,4.895268101989614
10/31/76,4.876626028116449
11/1/76,4.869816779170688
11/2/76,4.869229842
11/3/76,4.868643047
11/4/76,4.868056392336451
11/5/76,4.8674698795180715
11/6/76,4.866883508011077
11/7/76,4.866297277764398
11/8/76,4.865711188726962
11/9/76,4.865125241
11/10/76,4.864539434075854
11/11/76,4.8639537683602185
11/12/76,4.863368243649946
11/13/76,4.862782859894077
11/14/76,4.862197617041764
11/15/76,4.861612515042113
11/16/76,4.861027553844299
11/17/76,4.860442733397496
11/18/76,4.859858053650901
11/19/76,4.859273514553775
11/20/76,4.858689116055315
11/21/76,4.8581048581048725
11/22/76,4.8575207406516885
11/23/76,4.856936763645114
11/24/76,4.856352927034502
11/25/76,4.855769230769225
11/26/76,4.855185674798701
11/27/76,4.854602259072349
11/28/76,4.8540189835395875
11/29/76,4.853435848149923
11/30/76,4.8528528528528625
12/1/76,4.8587701964431185
12/2/76,4.870111001336674
12/3/76,4.881450488145056
12/4/76,4.892788657098035
12/5/76,4.904125508425339
12/6/76,4.915461042356628
12/7/76,4.926795259121541
12/8/76,4.938128158949651
12/9/76,4.949459742070417
12/10/76,4.960790008713345
12/11/76,4.972118959107807
12/12/76,4.983446593483176
12/13/76,4.994772912068779
12/14/76,5.006097915093788
12/15/76,5.017421602787464
12/16/76,5.028743975378891
12/17/76,5.0400650330972185
12/18/76,5.051384776171397
12/19/76,5.062703204830465
12/20/76,5.0740203193033295
12/21/76,5.085336119818873
12/22/76,5.0966506066059125
12/23/76,5.107963779893199
12/24/76,5.11927564
12/25/76,5.130586186883335
12/26/76,5.141895421043463
12/27/76,5.153203342618395
12/28/76,5.164509951836593
12/29/76,5.175815248926541
12/30/76,5.187119234116611
12/31/76,5.198421907635176
1/1/77,5.203619909502266
1/2/77,5.226218097447788
1/3/77,5.248811042802459
1/4/77,5.271398747390399
1/5/77,5.293981213034904
1/6/77,5.316558441558428
1/7/77,5.339130434782602
1/8/77,5.361697195
1/9/77,5.384258722615054
1/10/77,5.406815021
1/11/77,5.429366091088195
1/12/77,5.451911935110076
1/13/77,5.474452554744547
1/14/77,5.496987951807242
1/15/77,5.519518128113066
1/16/77,5.542043085476034
1/17/77,5.564562825709318
1/18/77,5.587077350625291
1/19/77,5.609586662035437
1/20/77,5.632090761750419
1/21/77,5.654589651580055
