Date,M2 Velocity
1985-10-03,1.7949021739130435
1985-10-04,1.7948695652173912
1985-10-07,1.7947717391304348
1985-10-08,1.7947391304347826
1985-10-09,1.7947065217391305
1985-10-10,1.7946739130434781
1985-10-11,1.794641304347826
1985-10-14,1.7945434782608696
1985-10-15,1.7945108695652174
1985-10-16,1.794478260869565
1985-10-17,1.794445652173913
1985-10-18,1.7944130434782608
1985-10-21,1.7943152173913044
1985-10-22,1.794282608695652
1985-10-23,1.79425
1985-10-24,1.7942173913043478
1985-10-25,1.7941847826086956
1985-10-28,1.794086956521739
1985-10-29,1.7940543478260869
1985-10-30,1.7940217391304347
1985-10-31,1.7939891304347826
1985-11-01,1.7939565217391304
1985-11-04,1.7938586956521738
1985-11-05,1.7938260869565217
1985-11-06,1.7937934782608695
1985-11-07,1.7937608695652174
1985-11-08,1.7937282608695653
1985-11-11,1.7936304347826086
1985-11-12,1.7935978260869565
1985-11-13,1.7935652173913044
1985-11-14,1.7935326086956522
1985-11-15,1.7934999999999999
1985-11-18,1.7934021739130435
1985-11-19,1.7933695652173913
1985-11-20,1.7933369565217392
1985-11-21,1.793304347826087
1985-11-22,1.7932717391304347
1985-11-25,1.7931739130434783
1985-11-26,1.7931413043478261
1985-11-27,1.793108695652174
1985-11-28,1.7930760869565217
1985-11-29,1.7930434782608695
1985-12-02,1.792945652173913
1985-12-03,1.792913043478261
1985-12-04,1.7928804347826086
1985-12-05,1.7928478260869565
1985-12-06,1.7928152173913043
1985-12-09,1.792717391304348
1985-12-10,1.7926847826086956
1985-12-11,1.7926521739130434
1985-12-12,1.7926195652173913
1985-12-13,1.7925869565217392
1985-12-16,1.7924891304347825
1985-12-17,1.7924565217391304
1985-12-18,1.7924239130434783
1985-12-19,1.7923913043478261
1985-12-20,1.792358695652174
1985-12-23,1.7922608695652174
1985-12-24,1.7922282608695652
1985-12-25,1.792195652173913
1985-12-26,1.792163043478261
1985-12-27,1.7921304347826088
1985-12-30,1.7920326086956522
1985-12-31,1.792
1986-01-01,1.792
1986-01-02,1.792
1986-01-03,1.792
1986-01-06,1.792
1986-01-07,1.792
1986-01-08,1.792
1986-01-09,1.792
1986-01-10,1.792
1986-01-13,1.792
1986-01-14,1.792
1986-01-15,1.792
1986-01-16,1.792
1986-01-17,1.792
1986-01-20,1.792
1986-01-21,1.792
1986-01-22,1.792
1986-01-23,1.792
1986-01-24,1.792
1986-01-27,1.792
1986-01-28,1.792
1986-01-29,1.792
1986-01-30,1.792
1986-01-31,1.792
1986-02-03,1.792
1986-02-04,1.792
1986-02-05,1.792
1986-02-06,1.792
1986-02-07,1.792
1986-02-10,1.792
1986-02-11,1.792
1986-02-12,1.792
1986-02-13,1.792
1986-02-14,1.792
1986-02-17,1.792
1986-02-18,1.792
1986-02-19,1.792
1986-02-20,1.792
1986-02-21,1.792
1986-02-24,1.792
1986-02-25,1.792
1986-02-26,1.792
1986-02-27,1.792
1986-02-28,1.792
1986-03-03,1.792
1986-03-04,1.792
1986-03-05,1.792
1986-03-06,1.792
1986-03-07,1.792
1986-03-10,1.792
1986-03-11,1.792
1986-03-12,1.792
1986-03-13,1.792
1986-03-14,1.792
1986-03-17,1.792
1986-03-18,1.792
1986-03-19,1.792
1986-03-20,1.792
1986-03-21,1.792
1986-03-24,1.792
1986-03-25,1.792
1986-03-26,1.792
1986-03-27,1.792
1986-03-28,1.792
1986-03-31,1.792
1986-04-01,1.7916483516483517
1986-04-02,1.7912967032967033
1986-04-03,1.790945054945055
1986-04-04,1.7905934065934066
1986-04-07,1.7895384615384615
1986-04-08,1.7891868131868132
1986-04-09,1.7888351648351648
1986-04-10,1.7884835164835164
1986-04-11,1.788131868131868
1986-04-14,1.787076923076923
1986-04-15,1.7867252747252746
1986-04-16,1.7863736263736265
1986-04-17,1.7860219780219782
1986-04-18,1.7856703296703298
1986-04-21,1.7846153846153847
1986-04-22,1.7842637362637364
1986-04-23,1.783912087912088
1986-04-24,1.7835604395604396
1986-04-25,1.7832087912087913
1986-04-28,1.7821538461538462
1986-04-29,1.7818021978021978
1986-04-30,1.7814505494505495
1986-05-01,1.7810989010989011
1986-05-02,1.7807472527472528
1986-05-05,1.7796923076923077
1986-05-06,1.7793406593406593
1986-05-07,1.778989010989011
1986-05-08,1.7786373626373626
1986-05-09,1.7782857142857142
1986-05-12,1.7772307692307692
1986-05-13,1.7768791208791208
1986-05-14,1.7765274725274725
1986-05-15,1.776175824175824
1986-05-16,1.775824175824176
1986-05-19,1.7747692307692309
1986-05-20,1.7744175824175825
1986-05-21,1.7740659340659342
1986-05-22,1.7737142857142858
1986-05-23,1.7733626373626374
1986-05-26,1.7723076923076924
1986-05-27,1.771956043956044
1986-05-28,1.7716043956043956
1986-05-29,1.7712527472527473
1986-05-30,1.770901098901099
1986-06-02,1.7698461538461538
1986-06-03,1.7694945054945055
1986-06-04,1.7691428571428571
1986-06-05,1.7687912087912088
1986-06-06,1.7684395604395604
1986-06-09,1.7673846153846153
1986-06-10,1.767032967032967
1986-06-11,1.7666813186813186
1986-06-12,1.7663296703296703
1986-06-13,1.765978021978022
1986-06-16,1.764923076923077
1986-06-17,1.7645714285714287
1986-06-18,1.7642197802197803
1986-06-19,1.763868131868132
1986-06-20,1.7635164835164836
1986-06-23,1.7624615384615385
1986-06-24,1.7621098901098902
1986-06-25,1.7617582417582418
1986-06-26,1.7614065934065934
1986-06-27,1.761054945054945
1986-06-30,1.76
1986-07-01,1.7597934782608695
1986-07-02,1.7595869565217392
1986-07-03,1.7593804347826087
1986-07-04,1.7591739130434783
1986-07-07,1.758554347826087
1986-07-08,1.7583478260869565
1986-07-09,1.758141304347826
1986-07-10,1.7579347826086957
1986-07-11,1.7577282608695652
1986-07-14,1.757108695652174
1986-07-15,1.7569021739130435
1986-07-16,1.756695652173913
1986-07-17,1.7564891304347827
1986-07-18,1.7562826086956522
1986-07-21,1.755663043478261
1986-07-22,1.7554565217391305
1986-07-23,1.75525
1986-07-24,1.7550434782608697
1986-07-25,1.7548369565217392
1986-07-28,1.754217391304348
1986-07-29,1.7540108695652175
1986-07-30,1.753804347826087
1986-07-31,1.7535978260869565
1986-08-01,1.7533913043478262
1986-08-04,1.752771739130435
1986-08-05,1.7525652173913044
1986-08-06,1.752358695652174
1986-08-07,1.7521521739130435
1986-08-08,1.7519456521739132
1986-08-11,1.7513260869565217
1986-08-12,1.7511195652173914
1986-08-13,1.750913043478261
1986-08-14,1.7507065217391304
1986-08-15,1.7505000000000002
