Date,US_CPI_LEVEL
1992-05-27,139.0015
1992-05-28,139.35074999999998
1992-05-29,139.7
1992-06-01,133.18999999999997
1992-06-02,133.5238095238095
1992-06-03,133.857619047619
1992-06-04,134.19142857142853
1992-06-05,134.52523809523808
1992-06-08,134.8590476190476
1992-06-09,135.19285714285712
1992-06-10,135.52666666666664
1992-06-11,135.86047619047616
1992-06-12,136.19428571428568
1992-06-15,136.5280952380952
1992-06-16,136.86190476190475
1992-06-17,137.19571428571427
1992-06-18,137.5295238095238
1992-06-19,137.86333333333332
1992-06-22,138.19714285714284
1992-06-23,138.53095238095236
1992-06-24,138.86476190476188
1992-06-25,139.19857142857143
1992-06-26,139.53238095238095
1992-06-29,139.86619047619047
1992-06-30,140.2
1992-07-01,133.475
1992-07-02,133.79431818181817
1992-07-03,134.11363636363635
1992-07-06,134.43295454545455
1992-07-07,134.75227272727273
1992-07-08,135.0715909090909
1992-07-09,135.39090909090908
1992-07-10,135.71022727272728
1992-07-13,136.02954545454546
1992-07-14,136.34886363636363
1992-07-15,136.6681818181818
1992-07-16,136.9875
1992-07-17,137.3068181818182
1992-07-20,137.62613636363636
1992-07-21,137.94545454545454
1992-07-22,138.2647727272727
1992-07-23,138.58409090909092
1992-07-24,138.9034090909091
1992-07-27,139.22272727272727
1992-07-28,139.54204545454544
1992-07-29,139.86136363636365
1992-07-30,140.18068181818182
1992-07-31,140.5
1992-08-03,133.855
1992-08-04,134.20725
1992-08-05,134.55949999999999
1992-08-06,134.91174999999998
1992-08-07,135.26399999999998
1992-08-10,135.61624999999998
1992-08-11,135.9685
1992-08-12,136.32075
1992-08-13,136.673
1992-08-14,137.02525
1992-08-17,137.3775
1992-08-18,137.72975
1992-08-19,138.082
1992-08-20,138.43425
1992-08-21,138.7865
1992-08-24,139.13875000000002
1992-08-25,139.491
1992-08-26,139.84325
1992-08-27,140.1955
1992-08-28,140.54775
1992-08-31,140.9
1992-09-01,134.235
1992-09-02,134.57142857142858
1992-09-03,134.90785714285715
1992-09-04,135.24428571428572
1992-09-07,135.5807142857143
1992-09-08,135.91714285714286
1992-09-09,136.25357142857143
1992-09-10,136.59
1992-09-11,136.92642857142857
1992-09-14,137.26285714285714
1992-09-15,137.5992857142857
1992-09-16,137.9357142857143
1992-09-17,138.27214285714288
1992-09-18,138.60857142857145
1992-09-21,138.94500000000002
1992-09-22,139.2814285714286
1992-09-23,139.61785714285716
1992-09-24,139.95428571428573
1992-09-25,140.2907142857143
1992-09-28,140.62714285714287
1992-09-29,140.96357142857144
1992-09-30,141.3
1992-10-01,134.71
1992-10-02,135.04761904761907
