Date,US_CPI_DAILY_INTERP
2019-12-27,257.00325
2019-12-30,256.9813125
2019-12-31,256.974
2020-01-01,257.00616129032255
2020-01-02,257.0383225806452
2020-01-03,257.07048387096773
2020-01-06,257.1669677419355
2020-01-07,257.19912903225804
2020-01-08,257.23129032258066
2020-01-09,257.2634516129032
2020-01-10,257.2956129032258
2020-01-13,257.39209677419353
2020-01-14,257.42425806451615
2020-01-15,257.4564193548387
2020-01-16,257.4885806451613
2020-01-17,257.52074193548384
2020-01-20,257.6172258064516
2020-01-21,257.6493870967742
2020-01-22,257.68154838709677
2020-01-23,257.71370967741933
2020-01-24,257.74587096774195
2020-01-27,257.8423548387097
2020-01-28,257.87451612903226
2020-01-29,257.9066774193548
2020-01-30,257.93883870967744
2020-01-31,257.971
2020-02-03,258.04675000000003
2020-02-04,258.072
2020-02-05,258.09725000000003
2020-02-06,258.1225
2020-02-07,258.14775000000003
2020-02-10,258.2235
2020-02-11,258.24875000000003
2020-02-12,258.274
2020-02-13,258.29925000000003
2020-02-14,258.3245
2020-02-17,258.40025
2020-02-18,258.4255
2020-02-19,258.45075
2020-02-20,258.476
2020-02-21,258.50125
2020-02-24,258.577
2020-02-25,258.60225
2020-02-26,258.6275
2020-02-27,258.65275
2020-02-28,258.678
2020-03-02,258.62521875
2020-03-03,258.607625
2020-03-04,258.59003125
2020-03-05,258.5724375
2020-03-06,258.55484375
2020-03-09,258.5020625
2020-03-10,258.48446875
2020-03-11,258.466875
2020-03-12,258.44928125
2020-03-13,258.4316875
2020-03-16,258.37890625
2020-03-17,258.3613125
2020-03-18,258.34371875
2020-03-19,258.326125
2020-03-20,258.30853125
2020-03-23,258.25575000000003
2020-03-24,258.23815625000003
2020-03-25,258.2205625
2020-03-26,258.20296875
2020-03-27,258.185375
2020-03-30,258.13259375
2020-03-31,258.115
2020-04-01,258.0574666666667
2020-04-02,257.99993333333333
2020-04-03,257.9424
2020-04-06,257.76980000000003
2020-04-07,257.71226666666666
2020-04-08,257.65473333333335
2020-04-09,257.5972
2020-04-10,257.5396666666667
2020-04-13,257.3670666666667
2020-04-14,257.3095333333333
2020-04-15,257.252
2020-04-16,257.1944666666667
2020-04-17,257.13693333333333
2020-04-20,256.96433333333334
2020-04-21,256.90680000000003
2020-04-22,256.84926666666667
2020-04-23,256.79173333333335
2020-04-24,256.7342
2020-04-27,256.5616
2020-04-28,256.5040666666667
2020-04-29,256.4465333333333
2020-04-30,256.389
2020-05-01,256.3891724137931
2020-05-04,256.38968965517245
2020-05-05,256.3898620689655
2020-05-06,256.3900344827586
2020-05-07,256.3902068965517
2020-05-08,256.3903793103448
2020-05-11,256.39089655172415
2020-05-12,256.39106896551726
2020-05-13,256.3912413793104
2020-05-14,256.3914137931035
2020-05-15,256.39158620689653
2020-05-18,256.39210344827586
2020-05-19,256.39227586206897
2020-05-20,256.3924482758621
2020-05-21,256.3926206896552
2020-05-22,256.3927931034483
2020-05-25,256.39331034482757
2020-05-26,256.3934827586207
2020-05-27,256.3936551724138
2020-05-28,256.3938275862069
2020-05-29,256.394
2020-06-01,256.52553125000003
2020-06-02,256.56937500000004
2020-06-03,256.61321875
2020-06-04,256.6570625
2020-06-05,256.70090625
2020-06-08,256.8324375
2020-06-09,256.87628125000003
2020-06-10,256.92012500000004
2020-06-11,256.96396875
2020-06-12,257.0078125
2020-06-15,257.13934375
2020-06-16,257.18318750000003
2020-06-17,257.22703125000004
2020-06-18,257.27087500000005
2020-06-19,257.31471875
2020-06-22,257.44625
2020-06-23,257.49009375
2020-06-24,257.53393750000004
2020-06-25,257.57778125000004
2020-06-26,257.62162500000005
2020-06-29,257.75315625
2020-06-30,257.797
2020-07-01,257.83906451612904
2020-07-02,257.8811290322581
2020-07-03,257.92319354838713
2020-07-06,258.04938709677424
2020-07-07,258.09145161290326
2020-07-08,258.1335161290323
2020-07-09,258.1755806451613
2020-07-10,258.21764516129036
2020-07-13,258.3438387096774
2020-07-14,258.3859032258065
2020-07-15,258.4279677419355
2020-07-16,258.4700322580645
2020-07-17,258.51209677419354
2020-07-20,258.63829032258064
2020-07-21,258.68035483870966
2020-07-22,258.72241935483873
2020-07-23,258.76448387096775
2020-07-24,258.80654838709677
2020-07-27,258.9327419354839
2020-07-28,258.9748064516129
2020-07-29,259.0168709677419
2020-07-30,259.058935483871
2020-07-31,259.101
2020-08-03,259.18006451612905
2020-08-04,259.2064193548387
2020-08-05,259.2327741935484
2020-08-06,259.25912903225804
2020-08-07,259.28548387096777
2020-08-10,259.36454838709676
2020-08-11,259.3909032258064
2020-08-12,259.41725806451615
2020-08-13,259.4436129032258
2020-08-14,259.4699677419355
2020-08-17,259.5490322580645
2020-08-18,259.5753870967742
2020-08-19,259.60174193548386
2020-08-20,259.6280967741936
2020-08-21,259.65445161290324
2020-08-24,259.73351612903224
2020-08-25,259.75987096774196
2020-08-26,259.7862258064516
2020-08-27,259.8125806451613
2020-08-28,259.83893548387096
2020-08-31,259.918
2020-09-01,259.9300666666667
2020-09-02,259.94213333333335
2020-09-03,259.9542
2020-09-04,259.9662666666667
2020-09-07,260.0024666666667
2020-09-08,260.0145333333333
2020-09-09,260.0266
2020-09-10,260.03866666666664
2020-09-11,260.0507333333333
2020-09-14,260.0869333333333
2020-09-15,260.099
2020-09-16,260.11106666666666
2020-09-17,260.1231333333333
2020-09-18,260.1352
2020-09-21,260.1714
2020-09-22,260.1834666666667
2020-09-23,260.1955333333333
2020-09-24,260.20759999999996
