Date,GPRI
1945-10-02,176.2935800860005
1945-10-03,176.28981214954007
1945-10-04,176.28604421307963
1945-10-05,176.2822762766192
1945-10-08,176.2709724672379
1945-10-09,176.26720453077746
1945-10-10,176.26343659431703
1945-10-11,176.2596686578566
1945-10-12,176.25590072139616
1945-10-15,176.24459691201486
1945-10-16,176.24082897555442
1945-10-17,176.23706103909402
1945-10-18,176.23329310263358
1945-10-19,176.22952516617315
1945-10-22,176.21822135679184
1945-10-23,176.2144534203314
1945-10-24,176.21068548387098
1945-10-25,176.20691754741054
1945-10-26,176.2031496109501
1945-10-29,176.1918458015688
1945-10-30,176.18807786510837
1945-10-31,176.18430992864793
1945-11-01,176.1805419921875
1945-11-02,174.72136739095052
1945-11-05,170.34384358723958
1945-11-06,168.8846689860026
1945-11-07,167.4254943847656
1945-11-08,165.96631978352863
1945-11-09,164.50714518229168
1945-11-12,160.12962137858074
1945-11-13,158.67044677734376
1945-11-14,157.21127217610677
1945-11-15,155.7520975748698
1945-11-16,154.2929229736328
1945-11-19,149.91539916992187
1945-11-20,148.4562245686849
1945-11-21,146.9970499674479
1945-11-22,145.53787536621093
1945-11-23,144.07870076497395
1945-11-26,139.70117696126303
1945-11-27,138.24200236002605
1945-11-28,136.78282775878907
1945-11-29,135.3236531575521
1945-11-30,133.8644785563151
1945-12-03,132.65106693390877
1945-12-04,132.7739484233241
1945-12-05,132.8968299127394
1945-12-06,133.01971140215474
1945-12-07,133.14259289157005
1945-12-10,133.51123735981602
1945-12-11,133.63411884923136
1945-12-12,133.75700033864666
1945-12-13,133.879881828062
1945-12-14,134.00276331747733
1945-12-17,134.37140778572328
1945-12-18,134.4942892751386
1945-12-19,134.61717076455392
1945-12-20,134.74005225396925
1945-12-21,134.8629337433846
1945-12-24,135.23157821163053
1945-12-25,135.35445970104587
1945-12-26,135.4773411904612
1945-12-27,135.6002226798765
1945-12-28,135.72310416929184
1945-12-31,136.0917486375378
1946-01-01,136.21463012695312
1946-01-02,135.7731667795489
1946-01-03,135.33170343214465
1946-01-04,134.8902400847404
1946-01-07,133.56585004252773
1946-01-08,133.1243866951235
1946-01-09,132.68292334771925
1946-01-10,132.24146000031502
1946-01-11,131.79999665291078
1946-01-14,130.4756066106981
1946-01-15,130.03414326329386
1946-01-16,129.59267991588962
1946-01-17,129.15121656848538
1946-01-18,128.70975322108114
1946-01-21,127.38536317886845
1946-01-22,126.94389983146421
1946-01-23,126.50243648405998
1946-01-24,126.06097313665575
1946-01-25,125.61950978925151
1946-01-28,124.29511974703881
1946-01-29,123.85365639963457
1946-01-30,123.41219305223034
1946-01-31,122.97072970482611
1946-02-01,122.52926635742188
1946-02-04,123.48139190673828
1946-02-05,123.79876708984375
1946-02-06,124.11614227294922
1946-02-07,124.43351745605469
1946-02-08,124.75089263916016
1946-02-11,125.70301818847656
1946-02-12,126.02039337158203
1946-02-13,126.3377685546875
1946-02-14,126.65514373779297
1946-02-15,126.97251892089844
1946-02-18,127.92464447021484
1946-02-19,128.2420196533203
1946-02-20,128.55939483642578
1946-02-21,128.87677001953125
1946-02-22,129.19414520263672
1946-02-25,130.14627075195312
1946-02-26,130.4636459350586
1946-02-27,130.78102111816406
1946-02-28,131.09839630126953
1946-03-01,131.415771484375
1946-03-04,129.92290964434224
1946-03-05,129.425289030998
1946-03-06,128.92766841765373
1946-03-07,128.43004780430948
1946-03-08,127.93242719096523
1946-03-11,126.43956535093245
1946-03-12,125.9419447375882
1946-03-13,125.44432412424395
1946-03-14,124.9467035108997
1946-03-15,124.44908289755544
1946-03-18,122.95622105752268
1946-03-19,122.45860044417843
1946-03-20,121.96097983083418
1946-03-21,121.46335921748992
1946-03-22,120.96573860414567
1946-03-25,119.4728767641129
1946-03-26,118.97525615076864
1946-03-27,118.47763553742439
1946-03-28,117.98001492408014
1946-03-29,117.48239431073588
1946-04-01,115.98953247070312
1946-04-02,116.28383331298828
1946-04-03,116.57813415527343
1946-04-04,116.8724349975586
1946-04-05,117.16673583984375
1946-04-08,118.04963836669921
1946-04-09,118.34393920898438
1946-04-10,118.63824005126953
1946-04-11,118.93254089355469
1946-04-12,119.22684173583984
1946-04-15,120.10974426269532
1946-04-16,120.40404510498047
1946-04-17,120.69834594726562
1946-04-18,120.99264678955078
1946-04-19,121.28694763183594
1946-04-22,122.1698501586914
1946-04-23,122.46415100097656
1946-04-24,122.75845184326172
1946-04-25,123.05275268554688
1946-04-26,123.34705352783203
1946-04-29,124.2299560546875
1946-04-30,124.52425689697266
1946-05-01,124.81855773925781
1946-05-02,124.77802128945628
1946-05-03,124.73748483965474
1946-05-06,124.61587549025013
1946-05-07,124.57533904044858
1946-05-08,124.53480259064705
1946-05-09,124.49426614084551
1946-05-10,124.45372969104397
1946-05-13,124.33212034163937
1946-05-14,124.29158389183783
1946-05-15,124.2510474420363
1946-05-16,124.21051099223476
1946-05-17,124.16997454243321
1946-05-20,124.0483651930286
1946-05-21,124.00782874322707
1946-05-22,123.96729229342553
1946-05-23,123.926755843624
1946-05-24,123.88621939382246
1946-05-27,123.76461004441784
1946-05-28,123.7240735946163
1946-05-29,123.68353714481476
1946-05-30,123.64300069501323
1946-05-31,123.60246424521169
1946-06-03,123.89982299804687
1946-06-04,124.06877059936524
1946-06-05,124.23771820068359
1946-06-06,124.40666580200195
1946-06-07,124.57561340332032
1946-06-10,125.08245620727538
1946-06-11,125.25140380859375
1946-06-12,125.42035140991212
1946-06-13,125.58929901123047
1946-06-14,125.75824661254883
1946-06-17,126.26508941650391
1946-06-18,126.43403701782226
1946-06-19,126.60298461914063
1946-06-20,126.77193222045898
1946-06-21,126.94087982177734
1946-06-24,127.44772262573242
1946-06-25,127.61667022705078
1946-06-26,127.78561782836914
1946-06-27,127.9545654296875
1946-06-28,128.12351303100587
1946-07-01,128.63035583496094
1946-07-02,128.4356202156313
1946-07-03,128.24088459630167
1946-07-04,128.04614897697203
1946-07-05,127.85141335764239
1946-07-08,127.26720649965348
1946-07-09,127.07247088032383
1946-07-10,126.8777352609942
1946-07-11,126.68299964166457
1946-07-12,126.48826402233493
1946-07-15,125.90405716434601
1946-07-16,125.70932154501638
1946-07-17,125.51458592568675
1946-07-18,125.31985030635711
1946-07-19,125.12511468702746
1946-07-22,124.54090782903856
1946-07-23,124.34617220970893
1946-07-24,124.15143659037929
1946-07-25,123.95670097104964
1946-07-26,123.76196535172001
1946-07-29,123.1777584937311
1946-07-30,122.98302287440146
1946-07-31,122.78828725507182
1946-08-01,122.59355163574219
1946-08-02,122.90193422379032
1946-08-05,123.82708198793473
1946-08-06,124.13546457598287
1946-08-07,124.443847164031
1946-08-08,124.75222975207913
1946-08-09,125.06061234012726
1946-08-12,125.98576010427168
1946-08-13,126.29414269231981
1946-08-14,126.60252528036794
1946-08-15,126.91090786841607
1946-08-16,127.21929045646421
1946-08-19,128.1444382206086
1946-08-20,128.45282080865675
1946-08-21,128.7612033967049
1946-08-22,129.06958598475302
1946-08-23,129.37796857280117
1946-08-26,130.30311633694555
1946-08-27,130.6114989249937
1946-08-28,130.91988151304184
1946-08-29,131.22826410108996
1946-08-30,131.5366466891381
1946-09-02,131.58331425984701
1946-09-03,131.01321665445963
1946-09-04,130.44311904907227
1946-09-05,129.8730214436849
