Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
1988-04-18,261.681,261.681,261.681,261.681,
1988-04-19,260.391,260.391,260.391,260.391,
1988-04-20,258.584,258.584,258.584,258.584,
1988-04-21,258.877,258.877,258.877,258.877,
1988-04-22,262.635,262.635,262.635,262.635,
1988-04-25,265.037,265.037,265.037,265.037,
1988-04-26,266.612,266.612,266.612,266.612,
1988-04-27,266.515,266.515,266.515,266.515,
1988-04-28,265.317,265.317,265.317,265.317,
1988-04-29,264.038,264.038,264.038,264.038,
1988-05-02,264.334,264.334,264.334,264.334,
1988-05-03,265.894,265.894,265.894,265.894,
1988-05-04,263.234,263.234,263.234,263.234,
1988-05-05,261.844,261.844,261.844,261.844,
1988-05-06,260.592,260.592,260.592,260.592,
1988-05-09,259.877,259.877,259.877,259.877,
1988-05-10,261.007,261.007,261.007,261.007,
1988-05-11,256.652,256.652,256.652,256.652,
1988-05-12,257.214,257.214,257.214,257.214,
1988-05-13,260.199,260.199,260.199,260.199,
1988-05-16,262.286,262.286,262.286,262.286,
1988-05-17,259.049,259.049,259.049,259.049,
1988-05-18,255.022,255.022,255.022,255.022,
1988-05-19,256.296,256.296,256.296,256.296,
1988-05-20,256.757,256.757,256.757,256.757,
1988-05-23,254.583,254.583,254.583,254.583,
1988-05-24,257.329,257.329,257.329,257.329,
1988-05-25,257.644,257.644,257.644,257.644,
1988-05-26,258.531,258.531,258.531,258.531,
1988-05-27,257.401,257.401,257.401,257.401,
1988-05-31,266.322,266.322,266.322,266.322,
1988-06-01,270.953,270.953,270.953,270.953,
1988-06-02,269.582,269.582,269.582,269.582,
1988-06-03,270.741,270.741,270.741,270.741,
1988-06-06,271.412,271.412,271.412,271.412,
1988-06-07,269.561,269.561,269.561,269.561,
1988-06-08,276.018,276.018,276.018,276.018,
1988-06-09,274.782,274.782,274.782,274.782,
1988-06-10,275.873,275.873,275.873,275.873,
1988-06-13,276.065,276.065,276.065,276.065,
1988-06-14,279.007,279.007,279.007,279.007,
1988-06-15,279.166,279.166,279.166,279.166,
1988-06-16,274.416,274.416,274.416,274.416,
1988-06-17,275.356,275.356,275.356,275.356,
1988-06-20,273.62,273.62,273.62,273.62,
1988-06-21,276.401,276.401,276.401,276.401,
1988-06-22,280.462,280.462,280.462,280.462,
1988-06-23,279.607,279.607,279.607,279.607,
1988-06-24,278.743,278.743,278.743,278.743,
1988-06-27,273.973,273.973,273.973,273.973,
1988-06-28,277.32,277.32,277.32,277.32,
1988-06-29,275.972,275.972,275.972,275.972,
1988-06-30,278.544,278.544,278.544,278.544,
1988-07-01,276.856,276.856,276.856,276.856,
1988-07-05,281.053,281.053,281.053,281.053,
1988-07-06,277.191,277.191,277.191,277.191,
1988-07-07,276.946,276.946,276.946,276.946,
1988-07-08,275.155,275.155,275.155,275.155,
1988-07-11,275.725,275.725,275.725,275.725,
1988-07-12,272.975,272.975,272.975,272.975,
1988-07-13,274.475,274.475,274.475,274.475,
1988-07-14,275.467,275.467,275.467,275.467,
1988-07-15,277.291,277.291,277.291,277.291,
1988-07-18,275.744,275.744,275.744,275.744,
1988-07-19,273.675,273.675,273.675,273.675,
1988-07-20,275.234,275.234,275.234,275.234,
1988-07-21,271.83,271.83,271.83,271.83,
1988-07-22,268.611,268.611,268.611,268.611,
1988-07-25,269.885,269.885,269.885,269.885,
1988-07-26,270.454,270.454,270.454,270.454,
1988-07-27,267.762,267.762,267.762,267.762,
1988-07-28,271.353,271.353,271.353,271.353,
1988-07-29,277.487,277.487,277.487,277.487,
1988-08-01,277.757,277.757,277.757,277.757,
1988-08-02,277.708,277.708,277.708,277.708,
1988-08-03,278.684,278.684,278.684,278.684,
1988-08-04,277.807,277.807,277.807,277.807,
1988-08-05,277.07,277.07,277.07,277.07,
1988-08-08,275.962,275.962,275.962,275.962,
1988-08-09,272.567,272.567,272.567,272.567,
1988-08-10,267.894,267.894,267.894,267.894,
1988-08-11,268.795,268.795,268.795,268.795,
1988-08-12,268.602,268.602,268.602,268.602,
1988-08-15,264.773,264.773,264.773,264.773,
1988-08-16,266.726,266.726,266.726,266.726,
1988-08-17,266.953,266.953,266.953,266.953,
1988-08-18,267.241,267.241,267.241,267.241,
1988-08-19,266.448,266.448,266.448,266.448,
1988-08-22,263.184,263.184,263.184,263.184,
1988-08-23,263.303,263.303,263.303,263.303,
1988-08-24,267.444,267.444,267.444,267.444,
1988-08-25,265.457,265.457,265.457,265.457,
1988-08-26,266.044,266.044,266.044,266.044,
1988-08-29,268.862,268.862,268.862,268.862,
1988-08-30,269.081,269.081,269.081,269.081,
1988-08-31,268.067,268.067,268.067,268.067,
1988-09-01,264.848,264.848,264.848,264.848,
1988-09-02,271.188,271.188,271.188,271.188,
1988-09-06,272.374,272.374,272.374,272.374,
1988-09-07,272.661,272.661,272.661,272.661,
1988-09-08,272.685,272.685,272.685,272.685,
1988-09-09,273.776,273.776,273.776,273.776,
1988-09-12,273.412,273.412,273.412,273.412,
1988-09-13,274.415,274.415,274.415,274.415,
1988-09-14,276.361,276.361,276.361,276.361,
1988-09-15,275.161,275.161,275.161,275.161,
1988-09-16,277.757,277.757,277.757,277.757,
1988-09-19,275.892,275.892,275.892,275.892,
1988-09-20,276.934,276.934,276.934,276.934,
1988-09-21,277.425,277.425,277.425,277.425,
1988-09-22,276.419,276.419,276.419,276.419,
1988-09-23,277.015,277.015,277.015,277.015,
1988-09-26,276.32,276.32,276.32,276.32,
1988-09-27,275.697,275.697,275.697,275.697,
1988-09-28,276.549,276.549,276.549,276.549,
1988-09-29,280.181,280.181,280.181,280.181,
1988-09-30,279.488,279.488,279.488,279.488,
1988-10-03,279.085,279.085,279.085,279.085,
1988-10-04,278.347,278.347,278.347,278.347,
1988-10-05,279.622,279.622,279.622,279.622,
1988-10-06,280.169,280.169,280.169,280.169,
1988-10-07,286.037,286.037,286.037,286.037,
1988-10-10,286.212,286.212,286.212,286.212,
1988-10-11,285.903,285.903,285.903,285.903,
1988-10-12,281.841,281.841,281.841,281.841,
1988-10-13,283.117,283.117,283.117,283.117,
1988-10-14,283.437,283.437,283.437,283.437,
1988-10-17,284.393,284.393,284.393,284.393,
1988-10-18,287.462,287.462,287.462,287.462,
1988-10-19,284.983,284.983,284.983,284.983,
1988-10-20,291.064,291.064,291.064,291.064,
1988-10-21,291.87,291.87,291.87,291.87,
1988-10-24,290.492,290.492,290.492,290.492,
1988-10-25,290.624,290.624,290.624,290.624,
1988-10-26,289.663,289.663,289.663,289.663,
1988-10-27,285.443,285.443,285.443,285.443,
1988-10-28,286.745,286.745,286.745,286.745,
1988-10-31,287.27,287.27,287.27,287.27,
1988-11-01,287.506,287.506,287.506,287.506,
1988-11-02,287.507,287.507,287.507,287.507,
1988-11-03,287.714,287.714,287.714,287.714,
1988-11-04,284.965,284.965,284.965,284.965,
1988-11-07,282.649,282.649,282.649,282.649,
1988-11-08,283.973,283.973,283.973,283.973,
1988-11-09,282.145,282.145,282.145,282.145,
1988-11-10,282.586,282.586,282.586,282.586,
1988-11-11,276.628,276.628,276.628,276.628,
1988-11-14,276.549,276.549,276.549,276.549,
1988-11-15,277.213,277.213,277.213,277.213,
1988-11-16,272.602,272.602,272.602,272.602,
1988-11-17,273.422,273.422,273.422,273.422,
1988-11-18,275.425,275.425,275.425,275.425,
1988-11-21,275.189,275.189,275.189,275.189,
1988-11-22,276.213,276.213,276.213,276.213,
1988-11-23,278.093,278.093,278.093,278.093,
1988-11-25,276.359,276.359,276.359,276.359,
1988-11-28,277.889,277.889,277.889,277.889,
1988-11-29,280.288,280.288,280.288,280.288,
1988-11-30,283.176,283.176,283.176,283.176,
1988-12-01,281.953,281.953,281.953,281.953,
1988-12-02,281.308,281.308,281.308,281.308,
1988-12-05,284.601,284.601,284.601,284.601,
1988-12-06,287.394,287.394,287.394,287.394,
1988-12-07,287.964,287.964,287.964,287.964,
1988-12-08,286.352,286.352,286.352,286.352,
1988-12-09,286.927,286.927,286.927,286.927,
1988-12-12,286.434,286.434,286.434,286.434,
1988-12-13,286.242,286.242,286.242,286.242,
1988-12-14,285.217,285.217,285.217,285.217,
1988-12-15,284.157,284.157,284.157,284.157,
1988-12-16,286.258,286.258,286.258,286.258,
1988-12-19,288.983,288.983,288.983,288.983,
1988-12-20,287.504,287.504,287.504,287.504,
1988-12-21,287.414,287.414,287.414,287.414,
1988-12-22,286.889,286.889,286.889,286.889,
1988-12-23,288.17,288.17,288.17,288.17,
1988-12-27,287.101,287.101,287.101,287.101,
1988-12-28,287.365,287.365,287.365,287.365,
1988-12-29,289.808,289.808,289.808,289.808,
1988-12-30,288.116,288.116,288.116,288.116,
1989-01-03,285.65,285.65,285.65,285.65,
1989-01-04,289.993,289.993,289.993,289.993,
1989-01-05,290.606,290.606,290.606,290.606,
1989-01-06,291.292,291.292,291.292,291.292,
1989-01-09,291.646,291.646,291.646,291.646,
1989-01-10,291.033,291.033,291.033,291.033,
1989-01-11,292.725,292.725,292.725,292.725,
1989-01-12,293.929,293.929,293.929,293.929,
1989-01-13,294.716,294.716,294.716,294.716,
1989-01-16,294.996,294.996,294.996,294.996,
1989-01-17,294.39,294.39,294.39,294.39,
1989-01-18,297.484,297.484,297.484,297.484,
1989-01-19,297.873,297.873,297.873,297.873,
1989-01-20,297.596,297.596,297.596,297.596,
1989-01-23,295.44,295.44,295.44,295.44,
1989-01-24,299.643,299.643,299.643,299.643,
1989-01-25,300.348,300.348,300.348,300.348,
1989-01-26,303.021,303.021,303.021,303.021,
1989-01-27,305.238,305.238,305.238,305.238,
1989-01-30,306.505,306.505,306.505,306.505,
1989-01-31,309.214,309.214,309.214,309.214,
1989-02-01,308.855,308.855,308.855,308.855,
1989-02-02,308.762,308.762,308.762,308.762,
1989-02-03,308.909,308.909,308.909,308.909,
1989-02-06,308.164,308.164,308.164,308.164,
1989-02-07,311.934,311.934,311.934,311.934,
1989-02-08,310.918,310.918,310.918,310.918,
1989-02-09,308.297,308.297,308.297,308.297,
1989-02-10,304.192,304.192,304.192,304.192,
1989-02-13,304.876,304.876,304.876,304.876,
1989-02-14,304.197,304.197,304.197,304.197,
1989-02-15,306.758,306.758,306.758,306.758,
1989-02-16,307.357,307.357,307.357,307.357,
1989-02-17,309.492,309.492,309.492,309.492,
1989-02-21,308.688,308.688,308.688,308.688,
1989-02-22,303.415,303.415,303.415,303.415,
1989-02-23,304.687,304.687,304.687,304.687,
1989-02-24,299.563,299.563,299.563,299.563,
1989-02-27,300.378,300.378,300.378,300.378,
1989-02-28,301.508,301.508,301.508,301.508,
1989-03-01,299.773,299.773,299.773,299.773,
1989-03-02,302.774,302.774,302.774,302.774,
1989-03-03,304.063,304.063,304.063,304.063,
1989-03-06,307.933,307.933,307.933,307.933,
1989-03-07,306.979,306.979,306.979,306.979,
1989-03-08,307.205,307.205,307.205,307.205,
1989-03-09,307.178,307.178,307.178,307.178,
1989-03-10,306.097,306.097,306.097,306.097,
1989-03-13,308.683,308.683,308.683,308.683,
1989-03-14,308.513,308.513,308.513,308.513,
1989-03-15,310.125,310.125,310.125,310.125,
1989-03-16,313.028,313.028,313.028,313.028,
1989-03-17,305.992,305.992,305.992,305.992,
1989-03-20,303.101,303.101,303.101,303.101,
1989-03-21,304.575,304.575,304.575,304.575,
1989-03-22,303.701,303.701,303.701,303.701,
1989-03-23,302.123,302.123,302.123,302.123,
1989-03-27,303.98,303.98,303.98,303.98,
1989-03-28,305.061,305.061,305.061,305.061,
1989-03-29,305.856,305.856,305.856,305.856,
1989-03-30,306.076,306.076,306.076,306.076,
1989-03-31,308.542,308.542,308.542,308.542,
1989-04-03,310.208,310.208,310.208,310.208,
1989-04-04,309.218,309.218,309.218,309.218,
1989-04-05,310.2,310.2,310.2,310.2,
1989-04-06,309.205,309.205,309.205,309.205,
1989-04-07,311.163,311.163,311.163,311.163,
1989-04-10,311.148,311.148,311.148,311.148,
1989-04-11,312.601,312.601,312.601,312.601,
1989-04-12,313.125,313.125,313.125,313.125,
1989-04-13,310.441,310.441,310.441,310.441,
1989-04-14,315.644,315.644,315.644,315.644,
1989-04-17,316.043,316.043,316.043,316.043,
1989-04-18,320.571,320.571,320.571,320.571,
1989-04-19,321.76,321.76,321.76,321.76,
1989-04-20,320.755,320.755,320.755,320.755,
1989-04-21,324.34,324.34,324.34,324.34,
1989-04-24,323.438,323.438,323.438,323.438,
1989-04-25,321.456,321.456,321.456,321.456,
1989-04-26,321.712,321.712,321.712,321.712,
1989-04-27,324.489,324.489,324.489,324.489,
1989-04-28,324.562,324.562,324.562,324.562,
1989-05-01,324.11,324.11,324.11,324.11,
1989-05-02,323.136,323.136,323.136,323.136,
1989-05-03,323.239,323.239,323.239,323.239,
1989-05-04,323.018,323.018,323.018,323.018,
1989-05-05,322.954,322.954,322.954,322.954,
1989-05-08,321.4,321.4,321.4,321.4,
1989-05-09,320.742,320.742,320.742,320.742,
1989-05-10,321.402,321.402,321.402,321.402,
1989-05-11,322.628,322.628,322.628,322.628,
1989-05-12,329.886,329.886,329.886,329.886,
1989-05-15,332.459,332.459,332.459,332.459,
1989-05-16,331.729,331.729,331.729,331.729,
1989-05-17,334.051,334.051,334.051,334.051,
1989-05-18,334.596,334.596,334.596,334.596,
1989-05-19,338.047,338.047,338.047,338.047,
1989-05-22,338.918,338.918,338.918,338.918,
1989-05-23,335.07,335.07,335.07,335.07,
1989-05-24,335.975,335.975,335.975,335.975,
1989-05-25,336.087,336.087,336.087,336.087,
1989-05-26,338.74,338.74,338.74,338.74,
1989-05-30,336.141,336.141,336.141,336.141,
1989-05-31,337.693,337.693,337.693,337.693,
1989-06-01,339.253,339.253,339.253,339.253,
1989-06-02,342.998,342.998,342.998,342.998,
1989-06-05,339.379,339.379,339.379,339.379,
1989-06-06,341.799,341.799,341.799,341.799,
1989-06-07,344.657,344.657,344.657,344.657,
1989-06-08,344.454,344.454,344.454,344.454,
1989-06-09,344.514,344.514,344.514,344.514,
1989-06-12,344.065,344.065,344.065,344.065,
1989-06-13,341.629,341.629,341.629,341.629,
1989-06-14,341.556,341.556,341.556,341.556,
1989-06-15,337.611,337.611,337.611,337.611,
1989-06-16,338.954,338.954,338.954,338.954,
1989-06-19,339.574,339.574,339.574,339.574,
1989-06-20,338.919,338.919,338.919,338.919,
1989-06-21,338.11,338.11,338.11,338.11,
1989-06-22,341.106,341.106,341.106,341.106,
1989-06-23,346.043,346.043,346.043,346.043,
1989-06-26,344.768,344.768,344.768,344.768,
1989-06-27,346.722,346.722,346.722,346.722,
1989-06-28,343.989,343.989,343.989,343.989,
1989-06-29,337.521,337.521,337.521,337.521,
1989-06-30,335.778,335.778,335.778,335.778,
1989-07-03,337.191,337.191,337.191,337.191,
1989-07-05,338.724,338.724,338.724,338.724,
1989-07-06,339.733,339.733,339.733,339.733,
1989-07-07,343.283,343.283,343.283,343.283,
1989-07-10,345.596,345.596,345.596,345.596,
1989-07-11,347.414,347.414,347.414,347.414,
1989-07-12,348.505,348.505,348.505,348.505,
1989-07-13,348.653,348.653,348.653,348.653,
1989-07-14,350.693,350.693,350.693,350.693,
1989-07-17,351.356,351.356,351.356,351.356,
1989-07-18,350.226,350.226,350.226,350.226,
1989-07-19,354.861,354.861,354.861,354.861,
1989-07-20,352.514,352.514,352.514,352.514,
1989-07-21,355.044,355.044,355.044,355.044,
1989-07-24,352.748,352.748,352.748,352.748,
1989-07-25,352.997,352.997,352.997,352.997,
1989-07-26,357.441,357.441,357.441,357.441,
1989-07-27,361.665,361.665,361.665,361.665,
1989-07-28,361.848,361.848,361.848,361.848,
1989-07-31,366.095,366.095,366.095,366.095,
1989-08-01,363.768,363.768,363.768,363.768,
1989-08-02,364.446,364.446,364.446,364.446,
1989-08-03,365.034,365.034,365.034,365.034,
1989-08-04,364.208,364.208,364.208,364.208,
1989-08-07,370.104,370.104,370.104,370.104,
1989-08-08,370.177,370.177,370.177,370.177,
1989-08-09,367.691,367.691,367.691,367.691,
1989-08-10,369.116,369.116,369.116,369.116,
1989-08-11,365.483,365.483,365.483,365.483,
1989-08-14,363.833,363.833,363.833,363.833,
1989-08-15,365.603,365.603,365.603,365.603,
1989-08-16,366.674,366.674,366.674,366.674,
1989-08-17,365.411,365.411,365.411,365.411,
1989-08-18,367.09,367.09,367.09,367.09,
1989-08-21,361.47,361.47,361.47,361.47,
1989-08-22,362.065,362.065,362.065,362.065,
1989-08-23,365.792,365.792,365.792,365.792,
1989-08-24,373.034,373.034,373.034,373.034,
1989-08-25,372.016,372.016,372.016,372.016,
1989-08-28,373.852,373.852,373.852,373.852,
1989-08-29,371.531,371.531,371.531,371.531,
1989-08-30,372.4,372.4,372.4,372.4,
1989-08-31,373.252,373.252,373.252,373.252,
1989-09-01,375.777,375.777,375.777,375.777,
1989-09-05,374.584,374.584,374.584,374.584,
1989-09-06,371.066,371.066,371.066,371.066,
1989-09-07,370.137,370.137,370.137,370.137,
1989-09-08,370.575,370.575,370.575,370.575,
1989-09-11,369.554,369.554,369.554,369.554,
1989-09-12,370.685,370.685,370.685,370.685,
1989-09-13,367.25,367.25,367.25,367.25,
1989-09-14,364.827,364.827,364.827,364.827,
1989-09-15,366.856,366.856,366.856,366.856,
1989-09-18,368.653,368.653,368.653,368.653,
1989-09-19,368.621,368.621,368.621,368.621,
1989-09-20,368.538,368.538,368.538,368.538,
1989-09-21,367.78,367.78,367.78,367.78,
1989-09-22,369.22,369.22,369.22,369.22,
1989-09-25,366.381,366.381,366.381,366.381,
1989-09-26,366.502,366.502,366.502,366.502,
1989-09-27,367.334,367.334,367.334,367.334,
1989-09-28,371.121,371.121,371.121,371.121,
1989-09-29,371.738,371.738,371.738,371.738,
1989-10-02,373.593,373.593,373.593,373.593,
1989-10-03,377.829,377.829,377.829,377.829,
1989-10-04,380.264,380.264,380.264,380.264,
1989-10-05,380.296,380.296,380.296,380.296,
1989-10-06,382.252,382.252,382.252,382.252,
1989-10-09,383.339,383.339,383.339,383.339,
1989-10-10,382.63,382.63,382.63,382.63,
1989-10-11,380.356,380.356,380.356,380.356,
1989-10-12,378.651,378.651,378.651,378.651,
1989-10-13,355.488,355.488,355.488,355.488,
1989-10-16,365.359,365.359,365.359,365.359,
1989-10-17,363.579,363.579,363.579,363.579,
1989-10-18,364.223,364.223,364.223,364.223,
1989-10-19,369.953,369.953,369.953,369.953,
1989-10-20,369.988,369.988,369.988,369.988,
1989-10-23,367.548,367.548,367.548,367.548,
1989-10-24,366.348,366.348,366.348,366.348,
1989-10-25,365.116,365.116,365.116,365.116,
1989-10-26,360.317,360.317,360.317,360.317,
1989-10-27,357.261,357.261,357.261,357.261,
1989-10-30,357.334,357.334,357.334,357.334,
1989-10-31,363.106,363.106,363.106,363.106,
1989-11-01,364.013,364.013,364.013,364.013,
1989-11-02,361.312,361.312,361.312,361.312,
1989-11-03,360.406,360.406,360.406,360.406,
1989-11-06,355.186,355.186,355.186,355.186,
1989-11-07,357.694,357.694,357.694,357.694,
1989-11-08,361.277,361.277,361.277,361.277,
1989-11-09,359.695,359.695,359.695,359.695,
1989-11-10,362.503,362.503,362.503,362.503,
1989-11-13,363.119,363.119,363.119,363.119,
1989-11-14,361.5,361.5,361.5,361.5,
1989-11-15,364.247,364.247,364.247,364.247,
1989-11-16,364.355,364.355,364.355,364.355,
1989-11-17,365.504,365.504,365.504,365.504,
1989-11-20,363.126,363.126,363.126,363.126,
1989-11-21,363.388,363.388,363.388,363.388,
1989-11-22,365.871,365.871,365.871,365.871,
1989-11-24,368.119,368.119,368.119,368.119,
1989-11-27,370.036,370.036,370.036,370.036,
1989-11-28,370.265,370.265,370.265,370.265,
1989-11-29,367.95,367.95,367.95,367.95,
1989-11-30,370.511,370.511,370.511,370.511,
1989-12-01,375.519,375.519,375.519,375.519,
1989-12-04,376.523,376.523,376.523,376.523,
1989-12-05,374.618,374.618,374.618,374.618,
1989-12-06,373.52,373.52,373.52,373.52,
1989-12-07,372.517,372.517,372.517,372.517,
1989-12-08,373.699,373.699,373.699,373.699,
1989-12-11,373.718,373.718,373.718,373.718,
1989-12-12,377.145,377.145,377.145,377.145,
1989-12-13,378.251,378.251,378.251,378.251,
1989-12-14,376.304,376.304,376.304,376.304,
1989-12-15,375.378,375.378,375.378,375.378,
1989-12-18,368.571,368.571,368.571,368.571,
1989-12-19,367.274,367.274,367.274,367.274,
1989-12-20,367.689,367.689,367.689,367.689,
1989-12-21,369.776,369.776,369.776,369.776,
1989-12-22,372.807,372.807,372.807,372.807,
1989-12-26,372.232,372.232,372.232,372.232,
1989-12-27,374.378,374.378,374.378,374.378,
1989-12-28,376.382,376.382,376.382,376.382,
1989-12-29,379.409,379.409,379.409,379.409,
1990-01-02,386.1619,386.1619,386.1619,386.1619,
1990-01-03,385.171,385.171,385.171,385.171,
1990-01-04,382.0178,382.0178,382.0178,382.0178,
1990-01-05,378.2993,378.2993,378.2993,378.2993,
1990-01-08,380.0394,380.0394,380.0394,380.0394,
1990-01-09,375.5643,375.5643,375.5643,375.5643,
1990-01-10,373.0871,373.0871,373.0871,373.0871,
1990-01-11,374.3977,374.3977,374.3977,374.3977,
1990-01-12,365.2228,365.2228,365.2228,365.2228,
1990-01-15,362.0748,362.0748,362.0748,362.0748,
1990-01-16,366.121,366.121,366.121,366.121,
1990-01-17,362.5355,362.5355,362.5355,362.5355,
1990-01-18,363.3844,363.3844,363.3844,363.3844,
1990-01-19,364.4266,364.4266,364.4266,364.4266,
1990-01-22,355.0396,355.0396,355.0396,355.0396,
1990-01-23,356.3635,356.3635,356.3635,356.3635,
1990-01-24,348.4358,348.4358,348.4358,348.4358,
1990-01-25,350.5146,350.5146,350.5146,350.5146,
1990-01-26,350.2459,350.2459,350.2459,350.2459,
1990-01-29,349.674,349.674,349.674,349.674,
1990-01-30,347.3751,347.3751,347.3751,347.3751,
1990-01-31,353.9369,353.9369,353.9369,353.9369,
1990-02-01,353.6777,353.6777,353.6777,353.6777,
1990-02-02,356.0248,356.0248,356.0248,356.0248,
1990-02-05,357.2825,357.2825,357.2825,357.2825,
1990-02-06,355.0539,355.0539,355.0539,355.0539,
1990-02-07,359.53,359.53,359.53,359.53,
1990-02-08,358.6995,358.6995,358.6995,358.6995,
1990-02-09,359.5753,359.5753,359.5753,359.5753,
1990-02-12,355.8892,355.8892,355.8892,355.8892,
1990-02-13,357.0095,357.0095,357.0095,357.0095,
1990-02-14,358.0988,358.0988,358.0988,358.0988,
1990-02-15,361.2299,361.2299,361.2299,361.2299,
1990-02-16,358.9874,358.9874,358.9874,358.9874,
1990-02-20,353.9099,353.9099,353.9099,353.9099,
1990-02-21,353.5667,353.5667,353.5667,353.5667,
1990-02-22,351.4842,351.4842,351.4842,351.4842,
1990-02-23,349.9,349.9,349.9,349.9,
1990-02-26,354.8751,354.8751,354.8751,354.8751,
1990-02-27,356.661,356.661,356.661,356.661,
1990-02-28,358.4958,358.4958,358.4958,358.4958,
1990-03-01,359.4571,359.4571,359.4571,359.4571,
1990-03-02,362.4852,362.4852,362.4852,362.4852,
1990-03-05,360.6811,360.6811,360.6811,360.6811,
1990-03-06,365.2418,365.2418,365.2418,365.2418,
1990-03-07,364.1944,364.1944,364.1944,364.1944,
1990-03-08,367.7926,367.7926,367.7926,367.7926,
1990-03-09,365.4201,365.4201,365.4201,365.4201,
1990-03-12,366.243,366.243,366.243,366.243,
1990-03-13,363.3707,363.3707,363.3707,363.3707,
1990-03-14,364.3181,364.3181,364.3181,364.3181,
1990-03-15,365.6256,365.6256,365.6256,365.6256,
1990-03-16,369.7894,369.7894,369.7894,369.7894,
1990-03-19,371.5577,371.5577,371.5577,371.5577,
1990-03-20,369.4649,369.4649,369.4649,369.4649,
1990-03-21,367.4887,367.4887,367.4887,367.4887,
1990-03-22,363.11,363.11,363.11,363.11,
1990-03-23,364.7693,364.7693,364.7693,364.7693,
1990-03-26,365.4357,365.4357,365.4357,365.4357,
1990-03-27,369.6395,369.6395,369.6395,369.6395,
1990-03-28,370.1905,370.1905,370.1905,370.1905,
1990-03-29,368.8807,368.8807,368.8807,368.8807,
1990-03-30,367.9953,367.9953,367.9953,367.9953,
1990-04-02,366.7244,366.7244,366.7244,366.7244,
